,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team,xg,xga
2,2021-08-16,19:15,Süper Lig,Matchweek 1,Mon,Away,W,5,1,Yeni Mal'spor,60.0,,Uğurcan Çakır,4-3-3,Atilla Karaoğlan,Match Report,,14.0,8.0,,1,1,2022,Trabzonspor,,
4,2021-08-23,19:15,Süper Lig,Matchweek 2,Mon,Home,W,2,1,Sivasspor,53.0,,Uğurcan Çakır,4-2-3-1,Abdulkadir Bitigen,Match Report,,14.0,6.0,,1,1,2022,Trabzonspor,,
6,2021-08-29,21:45,Süper Lig,Matchweek 3,Sun,Away,W,1,0,Giresunspor,54.0,,Uğurcan Çakır,4-2-3-1,Ali Şansalan,Match Report,,13.0,5.0,,0,0,2022,Trabzonspor,,
7,2021-09-12,20:00,Süper Lig,Matchweek 4,Sun,Home,D,2,2,Galatasaray,62.0,,Uğurcan Çakır,4-2-3-1,Ali Palabıyık,Match Report,,19.0,6.0,,0,0,2022,Trabzonspor,,
8,2021-09-18,16:00,Süper Lig,Matchweek 5,Sat,Away,W,1,0,Kasımpaşa,55.0,,Uğurcan Çakır,4-2-3-1,Mete Kalkavan,Match Report,,12.0,9.0,,0,0,2022,Trabzonspor,,
9,2021-09-23,17:00,Süper Lig,Matchweek 6,Thu,Away,D,2,2,Konyaspor,39.0,,Uğurcan Çakır,4-2-3-1,Halil Umut Meler,Match Report,,14.0,5.0,,0,0,2022,Trabzonspor,,
10,2021-09-27,20:00,Süper Lig,Matchweek 7,Mon,Home,D,1,1,Alanyaspor,67.0,,Uğurcan Çakır,4-2-3-1,Halis Özkahya,Match Report,,19.0,7.0,,0,0,2022,Trabzonspor,,
11,2021-10-02,16:00,Süper Lig,Matchweek 8,Sat,Away,W,2,1,Kayserispor,49.0,,Uğurcan Çakır,4-2-3-1,Tugay Kaan Numanoğlu,Match Report,,16.0,6.0,,1,1,2022,Trabzonspor,,
12,2021-10-17,19:00,Süper Lig,Matchweek 9,Sun,Home,W,3,1,Fenerbahçe,73.0,,Uğurcan Çakır,4-3-3,Ali Şansalan,Match Report,,20.0,7.0,,1,1,2022,Trabzonspor,,
13,2021-10-23,19:00,Süper Lig,Matchweek 10,Sat,Away,W,1,0,Göztepe,57.0,,Uğurcan Çakır,4-2-3-1,Atilla Karaoğlan,Match Report,,6.0,1.0,,0,0,2022,Trabzonspor,,
14,2021-10-29,20:00,Süper Lig,Matchweek 11,Fri,Home,W,2,1,Rizespor,62.0,,Uğurcan Çakır,4-2-3-1,Halil Umut Meler,Match Report,,12.0,4.0,,1,1,2022,Trabzonspor,,
15,2021-11-06,19:00,Süper Lig,Matchweek 12,Sat,Away,W,2,1,Beşiktaş,46.0,,Uğurcan Çakır,4-2-3-1,Erkan Özdamar,Match Report,,8.0,4.0,,0,0,2022,Trabzonspor,,
16,2021-11-22,20:00,Süper Lig,Matchweek 13,Mon,Home,W,3,0,Gaziantep FK,49.0,,Abdülkadir Ömür,4-2-3-1,Suat Arslanboga,Match Report,,11.0,5.0,,0,0,2022,Trabzonspor,,
17,2021-11-28,16:00,Süper Lig,Matchweek 14,Sun,Away,W,2,0,Fatih Karagümrük,36.0,,Uğurcan Çakır,4-2-3-1,Cüneyt Çakιr,Match Report,,9.0,2.0,,1,1,2022,Trabzonspor,,
18,2021-12-04,16:00,Süper Lig,Matchweek 15,Sat,Home,W,2,0,Adana Demirspor,54.0,,Uğurcan Çakır,4-2-3-1,Fırat Aydınus,Match Report,,5.0,3.0,,0,0,2022,Trabzonspor,,
19,2021-12-11,19:00,Süper Lig,Matchweek 16,Sat,Away,L,1,2,Antalyaspor,61.0,,Uğurcan Çakır,4-2-3-1,Zorbay Küçük,Match Report,,12.0,5.0,,0,0,2022,Trabzonspor,,
